Accuratezza_Ada,Accuratezza_SVM,Accuratezza_Random_forest,Accuratezza_Decision_tree,G3,Number_row,Number_class
0.13333333333333333,0.1511111111111111,0.09333333333333334,0.12,0.4711111111111111,100,3
0.15789473684210525,0.16421052631578947,0.11368421052631579,0.11368421052631579,0.37894736842105264,225,3
0.13793103448275862,0.16275862068965516,0.0993103448275862,0.10206896551724139,0.3489655172413793,100,3
0.16615384615384615,0.18666666666666668,0.10871794871794872,0.10974358974358975,0.3241025641025641,475,3
0.1469387755102041,0.1926530612244898,0.12,0.12,0.3224489795918367,100,3
0.15796610169491526,0.18237288135593221,0.10847457627118644,0.10915254237288136,0.3064406779661017,725,3
0.16231884057971013,0.17739130434782607,0.12405797101449276,0.12811594202898552,0.2927536231884058,100,3
0.1630379746835443,0.17265822784810125,0.12962025316455697,0.13063291139240507,0.2931645569620253,975,3
0.16359550561797753,0.19235955056179777,0.12853932584269662,0.1298876404494382,0.28,100,3
0.16727272727272727,0.18626262626262627,0.12646464646464647,0.12565656565656566,0.2791919191919192,1225,3
0.1669724770642202,0.17394495412844035,0.13908256880733946,0.13577981651376148,0.2781651376146789,100,3
0.1704201680672269,0.17949579831932774,0.1438655462184874,0.14352941176470588,0.2752941176470588,1475,3
0.1758139534883721,0.1931782945736434,0.13674418604651162,0.13550387596899224,0.27162790697674416,100,3
0.16776978417266186,0.18964028776978417,0.1389928057553957,0.13928057553956835,0.26906474820143883,1725,3
